met,altitude_km,downrange_km,velocity_ms,g_force,dynamic_pressure_kpa,thrust_kn,pitch_deg,heading_deg
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,24.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,38.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,69.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,92.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,125.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,154.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,169.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,189.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,199.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,211.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,216.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,221.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,226.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,231.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,232.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,235.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,238.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,241.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,241.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.6,90.0,83.33
0.0,0.241,0.0,0.35,1.09,0.0,240.7,90.0,83.33
0.0,0.241,0.0,0.69,1.18,0.0,240.5,90.0,83.33
0.0,0.241,0.0,1.21,1.31,0.0,240.6,90.0,83.33
0.0,0.241,0.0,1.56,1.4,0.0,241.2,90.0,83.33
0.0,0.241,0.0,2.08,1.53,0.0,240.6,90.0,83.33
0.0,0.241,0.0,2.42,1.62,0.0,240.9,89.98,83.33
0.02,0.241,0.0,2.77,1.71,0.0,241.1,90.0,83.33
0.08,0.242,0.0,3.3,1.84,0.0,240.6,90.0,83.33
0.12,0.242,0.0,3.64,1.88,0.0,241.1,90.0,83.33
0.18,0.242,0.0,4.17,1.89,0.01,240.9,90.0,83.33
0.24,0.242,0.0,4.69,1.89,0.01,240.6,90.0,83.33
0.28,0.242,0.0,5.04,1.89,0.01,240.7,89.98,83.33
0.34,0.243,0.0,5.56,1.89,0.01,241.2,90.0,83.33
0.38,0.243,0.0,5.92,1.89,0.02,240.7,90.0,83.33
0.44,0.243,0.0,6.44,1.89,0.02,240.5,90.0,83.33
0.5,0.244,0.0,6.97,1.89,0.02,241.1,90.0,83.33
0.54,0.244,0.0,7.32,1.89,0.03,240.1,90.0,83.33
0.58,0.244,0.0,7.67,1.89,0.03,240.5,89.97,83.33
0.64,0.245,0.0,8.19,1.89,0.03,240.4,90.0,83.33
0.68,0.245,0.0,8.55,1.89,0.04,240.9,90.0,83.33
0.74,0.246,0.0,9.07,1.89,0.04,240.9,90.0,83.33
0.8,0.246,0.0,9.6,1.9,0.05,241.2,90.0,83.33
0.84,0.247,0.0,9.96,1.9,0.05,240.4,90.0,83.33
0.9,0.247,0.0,10.49,1.9,0.06,240.7,90.0,83.33
0.9,0.247,0.0,10.49,1.9,0.06,240.7,90.0,83.33
0.96,0.248,0.0,11.02,1.9,0.06,240.4,90.0,83.33
1.02,0.249,0.0,11.55,1.9,0.07,240.7,90.0,83.33
1.08,0.249,0.0,12.08,1.9,0.08,240.6,89.98,83.33
1.12,0.25,0.0,12.43,1.9,0.08,240.5,90.0,83.33
1.18,0.251,0.0,12.97,1.9,0.09,241.4,90.0,83.33
1.22,0.251,0.0,13.33,1.9,0.1,241.0,89.97,83.33
1.26,0.252,0.0,13.68,1.9,0.1,240.5,89.97,83.33
1.32,0.253,0.0,14.21,1.91,0.11,240.7,90.0,83.33
1.38,0.253,0.0,14.75,1.91,0.12,240.8,89.97,83.33
1.42,0.254,0.0,15.11,1.91,0.13,241.1,89.97,83.33
1.48,0.255,0.0,15.65,1.91,0.14,241.4,89.97,83.33
1.52,0.256,0.0,16.0,1.91,0.15,241.1,89.97,83.33
1.58,0.257,0.0,16.54,1.91,0.16,241.3,89.96,83.33
1.64,0.258,0.0,17.08,1.91,0.17,241.4,89.97,83.33
1.68,0.258,0.0,17.44,1.91,0.18,240.9,89.95,83.33
1.72,0.259,0.0,17.81,1.92,0.18,241.0,89.96,83.33
1.78,0.26,0.0,18.35,1.92,0.2,241.3,89.95,83.33
1.82,0.261,0.0,18.71,1.92,0.2,240.8,89.94,83.33
1.88,0.262,0.0,19.25,1.92,0.22,241.3,89.95,83.33
1.94,0.263,0.0,19.79,1.92,0.23,241.5,89.95,83.33
1.98,0.264,0.0,20.15,1.92,0.24,241.4,89.95,83.33
2.02,0.265,0.0,20.52,1.92,0.25,240.8,89.95,83.33
2.08,0.266,0.0,21.06,1.92,0.26,241.3,89.94,83.33
2.14,0.267,0.0,21.61,1.92,0.28,241.0,89.94,83.34
2.18,0.268,0.0,21.97,1.92,0.29,241.6,89.94,83.34
2.24,0.27,0.0,22.52,1.93,0.3,241.6,89.93,83.34
2.28,0.27,0.0,22.88,1.93,0.31,241.0,89.93,83.34
2.32,0.271,0.0,23.25,1.93,0.32,241.0,89.93,83.34
2.38,0.273,0.0,23.79,1.93,0.34,241.4,89.93,83.34
2.44,0.274,0.0,24.34,1.93,0.35,240.7,89.93,83.34
2.48,0.275,0.0,24.71,1.93,0.37,241.3,89.92,83.34
2.54,0.277,0.0,25.26,1.93,0.38,241.1,89.92,83.34
2.58,0.278,0.0,25.63,1.93,0.39,241.1,89.92,83.34
2.64,0.279,0.0,26.18,1.93,0.41,241.2,89.91,83.35
2.68,0.28,0.0,26.54,1.93,0.42,241.3,89.92,83.35
2.72,0.281,0.0,26.91,1.93,0.44,241.4,89.91,83.35
2.78,0.283,0.0,27.46,1.93,0.46,240.7,89.91,83.35
2.84,0.285,0.0,28.01,1.94,0.47,241.2,89.91,83.35
2.88,0.286,0.0,28.38,1.94,0.49,241.0,89.9,83.35
